"@timestamp",corp,path,query,msec
"May 17, 2022 @ 09:10:03.331","13,408","/2z16v4/query/InvoiceStatement","fields=id%2CinvoiceStatementNumber%2Cstatus%2CinvoiceStatementType%2CinvoiceStatementDate%2Csubtotal%2Ctotal%2CclientCorporation%2CbillingProfile%2CinvoiceTerm%2CbillingPeriodEndDate%2CdateAdded%2CbillingAttention%2CbillingClientContact%2CbillingCorporateUser%2CgeneralLedgerExportStatusLookup%2CdeliveryStatus%2CemailErrorReason%2CdeliveryMethodLookup%2CinvoiceStatementFinalizedDate%2CcreditOfInvoiceStatement%2CdateLastModified%2CisFinalized&orderBy=invoiceStatementNumber&start=0&count=25&where=id%3E%3D0%20AND%20invoiceStatementNumber%3E%3D%27203%27%20AND%20invoiceStatementNumber%3C%27204%27&showTotalMatched=true&uniqueCallId=44826443-a03d-4595-a17f-0bcdb12dec14","120,500"
"May 17, 2022 @ 09:09:59.497","13,408","/2z16v4/query/InvoiceStatement","fields=id%2CinvoiceStatementNumber%2Cstatus%2CinvoiceStatementType%2CinvoiceStatementDate%2Csubtotal%2Ctotal%2CclientCorporation%2CbillingProfile%2CinvoiceTerm%2CbillingPeriodEndDate%2CdateAdded%2CbillingAttention%2CbillingClientContact%2CbillingCorporateUser%2CgeneralLedgerExportStatusLookup%2CdeliveryStatus%2CemailErrorReason%2CdeliveryMethodLookup%2CinvoiceStatementFinalizedDate%2CcreditOfInvoiceStatement%2CdateLastModified%2CisFinalized&orderBy=invoiceStatementNumber&start=0&count=25&where=id%3E%3D0%20AND%20invoiceStatementNumber%3E%3D%2720%27%20AND%20invoiceStatementNumber%3C%2721%27&showTotalMatched=true&uniqueCallId=185f387a-89d9-4846-962f-168b55b71570","120,504"
"May 17, 2022 @ 08:30:44.520","13,408","/2z16v4/query/InvoiceStatement","fields=id%2CinvoiceStatementType%2CcreditOfInvoiceStatement%2CinvoiceStatementNumber%2Ctotal%2Cstatus%2CinvoiceStatementDate%2CbillingCorporateUser%2CdeliveryMethodLookup%2CclientCorporation%2CbillingProfile%2CinvoiceTerm%2CbillingPeriodEndDate%2CdateAdded%2CbillingAttention%2CbillingClientContact%2CgeneralLedgerExportStatusLookup%2CdeliveryStatus%2CemailErrorReason%2CinvoiceStatementFinalizedDate%2CdateLastModified%2CisFinalized&orderBy=-dateAdded&start=0&count=500&where=id%3E%3D0%20AND%20billingCorporateUser.name%3E%3D%27e%27%20AND%20billingCorporateUser.name%3C%27f%27%20AND%20deliveryStatus.id%20IN%20(9%2C8)&showTotalMatched=false&uniqueCallId=35ab526c-8723-4eb8-8a32-6e3d6f1a761d","120,642"
"May 17, 2022 @ 08:28:44.417","13,408","/2z16v4/query/InvoiceStatement","fields=id%2CinvoiceStatementType%2CcreditOfInvoiceStatement%2CinvoiceStatementNumber%2Ctotal%2Cstatus%2CinvoiceStatementDate%2CbillingCorporateUser%2CdeliveryMethodLookup%2CclientCorporation%2CbillingProfile%2CinvoiceTerm%2CbillingPeriodEndDate%2CdateAdded%2CbillingAttention%2CbillingClientContact%2CgeneralLedgerExportStatusLookup%2CdeliveryStatus%2CemailErrorReason%2CinvoiceStatementFinalizedDate%2CdateLastModified%2CisFinalized&orderBy=-dateAdded&start=0&count=500&where=id%3E%3D0%20AND%20billingCorporateUser.name%3E%3D%27e%27%20AND%20billingCorporateUser.name%3C%27f%27%20AND%20deliveryStatus.id%20IN%20(9%2C8)&showTotalMatched=false&uniqueCallId=35ab526c-8723-4eb8-8a32-6e3d6f1a761d","120,544"
"May 17, 2022 @ 08:28:44.408","13,408","/2z16v4/query/InvoiceStatement","fields=id%2CinvoiceStatementType%2CcreditOfInvoiceStatement%2CinvoiceStatementNumber%2Ctotal%2Cstatus%2CinvoiceStatementDate%2CbillingCorporateUser%2CdeliveryMethodLookup%2CclientCorporation%2CbillingProfile%2CinvoiceTerm%2CbillingPeriodEndDate%2CdateAdded%2CbillingAttention%2CbillingClientContact%2CgeneralLedgerExportStatusLookup%2CdeliveryStatus%2CemailErrorReason%2CinvoiceStatementFinalizedDate%2CdateLastModified%2CisFinalized&orderBy=-dateAdded&start=0&count=500&where=id%3E%3D0%20AND%20billingCorporateUser.name%3E%3D%27e%27%20AND%20billingCorporateUser.name%3C%27f%27%20AND%20deliveryStatus.id%20IN%20(9%2C8)&showTotalMatched=false&uniqueCallId=35ab526c-8723-4eb8-8a32-6e3d6f1a761d","120,536"
"May 17, 2022 @ 08:28:30.776","13,408","/2z16v4/query/InvoiceStatement","fields=id%2CinvoiceStatementType%2CcreditOfInvoiceStatement%2CinvoiceStatementNumber%2Ctotal%2Cstatus%2CinvoiceStatementDate%2CbillingCorporateUser%2CdeliveryMethodLookup%2CclientCorporation%2CbillingProfile%2CinvoiceTerm%2CbillingPeriodEndDate%2CdateAdded%2CbillingAttention%2CbillingClientContact%2CgeneralLedgerExportStatusLookup%2CdeliveryStatus%2CemailErrorReason%2CinvoiceStatementFinalizedDate%2CdateLastModified%2CisFinalized&orderBy=-dateAdded&start=0&count=500&where=id%3E%3D0%20AND%20billingCorporateUser.name%3E%3D%27e%27%20AND%20billingCorporateUser.name%3C%27f%27%20AND%20deliveryStatus.id%20IN%20(9%2C8)&showTotalMatched=false&uniqueCallId=988ee0dc-83f6-47e9-a63d-c766bb94b0e0","120,692"
"May 17, 2022 @ 08:26:44.383","13,408","/2z16v4/query/InvoiceStatement","fields=id%2CinvoiceStatementType%2CcreditOfInvoiceStatement%2CinvoiceStatementNumber%2Ctotal%2Cstatus%2CinvoiceStatementDate%2CbillingCorporateUser%2CdeliveryMethodLookup%2CclientCorporation%2CbillingProfile%2CinvoiceTerm%2CbillingPeriodEndDate%2CdateAdded%2CbillingAttention%2CbillingClientContact%2CgeneralLedgerExportStatusLookup%2CdeliveryStatus%2CemailErrorReason%2CinvoiceStatementFinalizedDate%2CdateLastModified%2CisFinalized&orderBy=-dateAdded&start=0&count=500&where=id%3E%3D0%20AND%20billingCorporateUser.name%3E%3D%27e%27%20AND%20billingCorporateUser.name%3C%27f%27%20AND%20deliveryStatus.id%20IN%20(9%2C8)&showTotalMatched=false&uniqueCallId=35ab526c-8723-4eb8-8a32-6e3d6f1a761d","120,511"
"May 17, 2022 @ 08:26:30.968","13,408","/2z16v4/query/InvoiceStatement","fields=id%2CinvoiceStatementType%2CcreditOfInvoiceStatement%2CinvoiceStatementNumber%2Ctotal%2Cstatus%2CinvoiceStatementDate%2CbillingCorporateUser%2CdeliveryMethodLookup%2CclientCorporation%2CbillingProfile%2CinvoiceTerm%2CbillingPeriodEndDate%2CdateAdded%2CbillingAttention%2CbillingClientContact%2CgeneralLedgerExportStatusLookup%2CdeliveryStatus%2CemailErrorReason%2CinvoiceStatementFinalizedDate%2CdateLastModified%2CisFinalized&orderBy=-dateAdded&start=0&count=500&where=id%3E%3D0%20AND%20billingCorporateUser.name%3E%3D%27e%27%20AND%20billingCorporateUser.name%3C%27f%27%20AND%20deliveryStatus.id%20IN%20(9%2C8)&showTotalMatched=false&uniqueCallId=988ee0dc-83f6-47e9-a63d-c766bb94b0e0","120,903"
"May 17, 2022 @ 08:26:30.669","13,408","/2z16v4/query/InvoiceStatement","fields=id%2CinvoiceStatementType%2CcreditOfInvoiceStatement%2CinvoiceStatementNumber%2Ctotal%2Cstatus%2CinvoiceStatementDate%2CbillingCorporateUser%2CdeliveryMethodLookup%2CclientCorporation%2CbillingProfile%2CinvoiceTerm%2CbillingPeriodEndDate%2CdateAdded%2CbillingAttention%2CbillingClientContact%2CgeneralLedgerExportStatusLookup%2CdeliveryStatus%2CemailErrorReason%2CinvoiceStatementFinalizedDate%2CdateLastModified%2CisFinalized&orderBy=-dateAdded&start=0&count=500&where=id%3E%3D0%20AND%20billingCorporateUser.name%3E%3D%27e%27%20AND%20billingCorporateUser.name%3C%27f%27%20AND%20deliveryStatus.id%20IN%20(9%2C8)&showTotalMatched=false&uniqueCallId=988ee0dc-83f6-47e9-a63d-c766bb94b0e0","120,609"
"May 17, 2022 @ 08:24:30.470","13,408","/2z16v4/query/InvoiceStatement","fields=id%2CinvoiceStatementType%2CcreditOfInvoiceStatement%2CinvoiceStatementNumber%2Ctotal%2Cstatus%2CinvoiceStatementDate%2CbillingCorporateUser%2CdeliveryMethodLookup%2CclientCorporation%2CbillingProfile%2CinvoiceTerm%2CbillingPeriodEndDate%2CdateAdded%2CbillingAttention%2CbillingClientContact%2CgeneralLedgerExportStatusLookup%2CdeliveryStatus%2CemailErrorReason%2CinvoiceStatementFinalizedDate%2CdateLastModified%2CisFinalized&orderBy=-dateAdded&start=0&count=500&where=id%3E%3D0%20AND%20billingCorporateUser.name%3E%3D%27e%27%20AND%20billingCorporateUser.name%3C%27f%27%20AND%20deliveryStatus.id%20IN%20(9%2C8)&showTotalMatched=false&uniqueCallId=988ee0dc-83f6-47e9-a63d-c766bb94b0e0","120,412"
